label,img
CARYOPHYLLACEAE,"[[[225 205 168]
  [221 203 165]
  [219 204 165]
  ...
  [179 137  99]
  [180 138  98]
  [180 138  98]]

 [[225 205 168]
  [222 204 166]
  [221 206 167]
  ...
  [171 132  93]
  [167 128  89]
  [165 126  85]]

 [[225 205 168]
  [221 203 165]
  [223 208 169]
  ...
  [170 132  95]
  [169 131  94]
  [168 130  91]]

 ...

 [[184 156 132]
  [188 160 136]
  [195 167 143]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[198 168 142]
  [200 170 144]
  [203 173 147]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[210 179 151]
  [206 175 147]
  [201 170 142]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
CARYOPHYLLACEAE,"[[[ 68 147 102]
  [ 79 158 113]
  [ 83 162 117]
  ...
  [ 51  90  61]
  [ 74 110  82]
  [ 87 123  95]]

 [[ 62 139  95]
  [ 79 158 113]
  [ 84 161 117]
  ...
  [ 76 112  84]
  [ 82 116  89]
  [ 82 116  89]]

 [[ 52 127  84]
  [ 78 155 111]
  [ 84 159 116]
  ...
  [ 89 121  97]
  [ 76 106  82]
  [ 63  93  69]]

 ...

 [[ 22  75  23]
  [ 28  78  27]
  [ 29  79  30]
  ...
  [ 89  95  83]
  [ 37  45  32]
  [ 17  25  12]]

 [[ 25  75  26]
  [ 23  73  24]
  [ 19  66  20]
  ...
  [ 78  84  72]
  [ 57  63  51]
  [ 28  34  22]]

 [[ 23  73  24]
  [ 14  64  15]
  [  6  52   6]
  ...
  [ 52  58  46]
  [ 79  85  73]
  [ 33  39  27]]]"
CARYOPHYLLACEAE,"[[[110 100  91]
  [111 101  92]
  [111 101  92]
  ...
  [105  88  72]
  [101  84  68]
  [ 98  81  65]]

 [[110 100  91]
  [110 100  91]
  [111 101  92]
  ...
  [105  88  72]
  [102  85  69]
  [ 99  82  66]]

 [[110 100  91]
  [110 100  91]
  [111 101  92]
  ...
  [104  89  70]
  [102  87  68]
  [100  85  66]]

 ...

 [[ 79  64  45]
  [ 85  70  51]
  [ 85  72  53]
  ...
  [ 95 120  78]
  [ 96 121  79]
  [ 97 122  80]]

 [[ 79  64  45]
  [ 83  68  49]
  [ 81  69  47]
  ...
  [ 57  82  40]
  [ 70  95  53]
  [ 77 102  60]]

 [[ 77  62  43]
  [ 80  65  46]
  [ 77  65  43]
  ...
  [ 45  68  26]
  [ 52  75  33]
  [ 54  77  35]]]"
CARYOPHYLLACEAE,"[[[ 83 120  14]
  [ 72 111   4]
  [ 62 100   0]
  ...
  [107 138  34]
  [107 138  34]
  [107 138  34]]

 [[ 83 120  14]
  [ 74 111   5]
  [ 65 103   0]
  ...
  [107 138  34]
  [107 138  34]
  [107 138  34]]

 [[ 82 119  13]
  [ 76 113   7]
  [ 69 107   4]
  ...
  [107 138  35]
  [107 138  35]
  [107 138  35]]

 ...

 [[ 49  71   7]
  [ 49  71   7]
  [ 49  71   7]
  ...
  [109 126  30]
  [109 126  30]
  [109 126  30]]

 [[ 49  71   7]
  [ 50  72   8]
  [ 50  72   8]
  ...
  [109 126  30]
  [109 126  30]
  [109 126  30]]

 [[ 50  72   8]
  [ 51  73   9]
  [ 52  74  10]
  ...
  [109 126  30]
  [109 126  30]
  [109 126  30]]]"
BORAGINACEAE,"[[[255 255 255]
  [251 251 251]
  [242 242 242]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[243 243 243]
  [250 250 250]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [254 254 254]
  [249 249 249]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[248 248 248]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [242 242 242]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
BORAGINACEAE,"[[[117 143 116]
  [131 157 130]
  [131 160 132]
  ...
  [100 131  99]
  [100 131 100]
  [ 96 127  96]]

 [[110 136 109]
  [127 153 126]
  [137 163 136]
  ...
  [100 131  99]
  [105 136 105]
  [105 136 105]]

 [[ 99 123  97]
  [115 141 114]
  [134 160 133]
  ...
  [100 133 102]
  [103 136 105]
  [103 136 105]]

 ...

 [[152 172 123]
  [167 187 138]
  [178 198 149]
  ...
  [113 149 123]
  [128 164 138]
  [135 171 145]]

 [[169 189 140]
  [174 194 145]
  [175 195 146]
  ...
  [103 139 113]
  [118 154 128]
  [133 169 143]]

 [[179 199 150]
  [177 197 148]
  [171 191 142]
  ...
  [ 96 132 106]
  [108 144 118]
  [124 160 134]]]"
CARYOPHYLLACEAE,"[[[171 176 195]
  [171 176 195]
  [171 176 195]
  ...
  [237 219 217]
  [242 227 222]
  [235 220 213]]

 [[171 176 195]
  [171 176 195]
  [171 176 195]
  ...
  [231 216 213]
  [241 226 219]
  [250 237 228]]

 [[171 176 195]
  [171 176 195]
  [171 176 195]
  ...
  [236 221 214]
  [242 229 220]
  [241 231 219]]

 ...

 [[ 75  74  80]
  [105 102 109]
  [134 131 140]
  ...
  [165 168 173]
  [164 167 172]
  [164 167 172]]

 [[102  99 108]
  [123 120 129]
  [144 138 150]
  ...
  [166 169 174]
  [165 168 173]
  [165 168 173]]

 [[125 122 131]
  [136 133 142]
  [146 138 151]
  ...
  [166 169 174]
  [165 168 173]
  [165 168 173]]]"
CARYOPHYLLACEAE,"[[[202 173 141]
  [189 160 128]
  [188 159 127]
  ...
  [245 222 208]
  [253 229 217]
  [228 204 192]]

 [[179 150 118]
  [167 138 106]
  [168 139 107]
  ...
  [227 204 186]
  [225 202 186]
  [194 171 157]]

 [[168 139 107]
  [153 124  92]
  [152 123  91]
  ...
  [213 191 168]
  [203 181 158]
  [173 151 130]]

 ...

 [[116  92  82]
  [143 119 107]
  [189 167 154]
  ...
  [ 22  17  13]
  [ 12   7   4]
  [  6   1   0]]

 [[125 103  82]
  [125 103  80]
  [122 100  76]
  ...
  [ 11   6   3]
  [ 11   6   3]
  [ 11   6   3]]

 [[111  90  63]
  [110  89  60]
  [106  85  56]
  ...
  [ 11   6   3]
  [ 11   6   3]
  [ 11   6   3]]]"
CARYOPHYLLACEAE,"[[[122 131  48]
  [123 132  49]
  [132 141  62]
  ...
  [138 152  64]
  [151 165  80]
  [150 164  79]]

 [[145 154  71]
  [137 146  63]
  [132 141  60]
  ...
  [142 156  68]
  [156 170  83]
  [155 169  82]]

 [[154 163  80]
  [145 154  71]
  [134 143  62]
  ...
  [146 161  68]
  [156 171  80]
  [152 166  78]]

 ...

 [[104  85  26]
  [110  94  34]
  [122 106  46]
  ...
  [175 175  87]
  [166 165  82]
  [159 156  75]]

 [[101  85  26]
  [112  96  37]
  [128 112  53]
  ...
  [172 175  86]
  [160 159  76]
  [148 147  64]]

 [[101  85  26]
  [115  99  40]
  [131 116  57]
  ...
  [163 168  78]
  [152 152  66]
  [141 140  57]]]"
BORAGINACEAE,"[[[110 152 112]
  [128 170 130]
  [143 183 146]
  ...
  [214 243 215]
  [187 215 190]
  [159 187 162]]

 [[124 166 126]
  [127 169 129]
  [137 177 140]
  ...
  [213 242 214]
  [187 215 190]
  [165 193 168]]

 [[133 174 132]
  [125 166 124]
  [130 168 129]
  ...
  [210 239 211]
  [185 213 188]
  [170 198 173]]

 ...

 [[226 244 220]
  [238 255 234]
  [239 254 235]
  ...
  [117 157 133]
  [112 152 128]
  [118 158 134]]

 [[224 244 219]
  [236 255 233]
  [240 255 236]
  ...
  [109 148 127]
  [115 154 133]
  [133 172 151]]

 [[222 245 219]
  [236 255 231]
  [238 255 236]
  ...
  [ 93 132 113]
  [107 146 127]
  [138 177 158]]]"
CARYOPHYLLACEAE,"[[[ 88  35   4]
  [110  57  25]
  [111  58  24]
  ...
  [225 202 170]
  [226 209 179]
  [225 210 181]]

 [[ 92  42   9]
  [154 104  69]
  [141  89  52]
  ...
  [225 205 172]
  [222 205 175]
  [221 206 177]]

 [[ 46   2   0]
  [124  79  38]
  [155 106  65]
  ...
  [210 189 158]
  [212 195 165]
  [211 196 167]]

 ...

 [[179 178 160]
  [181 180 162]
  [184 183 165]
  ...
  [ 45  11   0]
  [ 32  10   0]
  [ 29  10   0]]

 [[178 176 161]
  [180 178 163]
  [184 182 167]
  ...
  [176 135 107]
  [ 84  46  25]
  [ 83  46  28]]

 [[175 173 158]
  [178 176 161]
  [182 180 165]
  ...
  [173 128  99]
  [171 124 104]
  [171 124 108]]]"
BORAGINACEAE,"[[[132 149  79]
  [133 150  80]
  [134 151  80]
  ...
  [171 195 147]
  [139 161 112]
  [151 173 124]]

 [[135 152  82]
  [135 152  82]
  [135 152  81]
  ...
  [169 193 145]
  [140 162 113]
  [153 175 126]]

 [[136 153  83]
  [136 153  83]
  [136 153  83]
  ...
  [165 189 139]
  [142 164 115]
  [157 179 130]]

 ...

 [[ 93 134 100]
  [ 90 131  97]
  [ 78 115  84]
  ...
  [ 90 108  58]
  [ 90 108  58]
  [ 90 108  58]]

 [[ 95 139 104]
  [ 89 130  96]
  [ 73 110  79]
  ...
  [ 91 109  61]
  [ 91 109  61]
  [ 91 109  61]]

 [[ 98 142 107]
  [ 89 130  96]
  [ 70 107  76]
  ...
  [ 90 107  62]
  [ 91 109  61]
  [ 91 109  61]]]"
CARYOPHYLLACEAE,"[[[123 120 111]
  [ 32  29  20]
  [ 64  63  58]
  ...
  [ 64  46  44]
  [ 78  63  66]
  [ 96  81  84]]

 [[113 109 100]
  [ 25  22  13]
  [ 30  27  20]
  ...
  [ 40  25  22]
  [ 46  34  36]
  [ 57  42  45]]

 [[ 98  91  81]
  [ 28  24  13]
  [  4   0   0]
  ...
  [ 23   9   6]
  [ 20  10  11]
  [ 20   8  10]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [213 209 206]
  [172 172 170]
  [188 188 186]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [192 188 189]
  [208 207 212]
  [178 177 182]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [211 206 210]
  [226 225 231]
  [196 195 201]]]"
BORAGINACEAE,"[[[ 21  35  20]
  [ 21  35  20]
  [ 25  39  26]
  ...
  [106 119  73]
  [110 123  77]
  [112 125  79]]

 [[ 20  34  19]
  [ 20  34  19]
  [ 23  37  24]
  ...
  [109 120  77]
  [109 120  77]
  [108 119  76]]

 [[ 20  34  17]
  [ 19  33  16]
  [ 20  34  19]
  ...
  [109 117  76]
  [105 113  72]
  [102 110  69]]

 ...

 [[ 54  85  25]
  [ 53  84  24]
  [ 53  84  24]
  ...
  [ 53  82  16]
  [ 58  84  19]
  [ 60  86  21]]

 [[ 50  84  23]
  [ 50  84  23]
  [ 49  83  22]
  ...
  [ 52  81  15]
  [ 56  82  17]
  [ 58  84  19]]

 [[ 48  82  21]
  [ 48  82  21]
  [ 49  83  22]
  ...
  [ 52  81  15]
  [ 56  82  17]
  [ 57  83  18]]]"
CARYOPHYLLACEAE,"[[[115 114 122]
  [115 114 122]
  [115 113 124]
  ...
  [115 113 124]
  [115 113 124]
  [115 113 124]]

 [[115 114 122]
  [115 114 122]
  [115 113 124]
  ...
  [115 113 124]
  [115 113 124]
  [115 113 124]]

 [[115 114 120]
  [115 114 120]
  [115 114 122]
  ...
  [115 113 124]
  [115 113 124]
  [115 113 124]]

 ...

 [[124 100  88]
  [111  89  76]
  [ 93  76  60]
  ...
  [110  99  95]
  [110  99  95]
  [110  99  95]]

 [[123  96  85]
  [111  87  75]
  [ 95  76  61]
  ...
  [109  98  94]
  [109  98  94]
  [109  98  94]]

 [[118  91  80]
  [109  85  73]
  [ 98  76  62]
  ...
  [109  98  94]
  [109  98  94]
  [109  98  94]]]"
BORAGINACEAE,"[[[ 35  46   4]
  [ 40  51   9]
  [ 46  57  17]
  ...
  [ 36  45  18]
  [ 41  50  21]
  [ 42  51  22]]

 [[ 32  43   1]
  [ 38  49   7]
  [ 44  55  15]
  ...
  [ 40  49  20]
  [ 43  52  23]
  [ 42  51  22]]

 [[ 29  40   0]
  [ 35  46   6]
  [ 43  54  14]
  ...
  [ 43  52  23]
  [ 44  53  24]
  [ 42  51  20]]

 ...

 [[ 17  22   2]
  [ 14  19   0]
  [ 20  25   5]
  ...
  [ 73 101  43]
  [ 56  84  26]
  [ 53  81  22]]

 [[ 16  20   5]
  [ 12  16   1]
  [ 12  16   1]
  ...
  [ 84 114  54]
  [ 58  88  24]
  [ 50  81  14]]

 [[ 16  20   6]
  [ 17  21   7]
  [ 16  20   6]
  ...
  [ 96 128  65]
  [ 62  94  27]
  [ 48  81  12]]]"
CARYOPHYLLACEAE,"[[[255 230 185]
  [255 243 198]
  [255 236 189]
  ...
  [250 253 236]
  [253 255 241]
  [251 255 240]]

 [[255 230 185]
  [255 232 185]
  [244 217 170]
  ...
  [253 255 241]
  [249 253 238]
  [251 255 240]]

 [[255 232 185]
  [250 224 175]
  [226 200 151]
  ...
  [249 251 238]
  [238 242 228]
  [244 248 234]]

 ...

 [[244 245 239]
  [240 241 235]
  [207 208 202]
  ...
  [255 246 225]
  [250 237 218]
  [243 230 211]]

 [[255 255 248]
  [255 255 247]
  [192 191 186]
  ...
  [252 237 216]
  [247 234 215]
  [240 227 208]]

 [[253 253 243]
  [251 251 241]
  [174 173 168]
  ...
  [235 220 199]
  [240 227 208]
  [237 224 205]]]"
CARYOPHYLLACEAE,"[[[238 238 238]
  [238 238 238]
  [238 238 238]
  ...
  [242 239 234]
  [240 239 234]
  [240 239 234]]

 [[238 238 238]
  [238 238 238]
  [238 238 238]
  ...
  [240 240 232]
  [240 240 232]
  [240 239 234]]

 [[237 238 240]
  [237 238 240]
  [237 238 240]
  ...
  [240 240 232]
  [240 240 230]
  [240 240 232]]

 ...

 [[131  87  16]
  [135  92  23]
  [118  79  14]
  ...
  [230 193 138]
  [223 184 125]
  [217 178 119]]

 [[103  58   0]
  [129  85  22]
  [107  67   8]
  ...
  [224 188 130]
  [223 185 123]
  [223 184 125]]

 [[104  58   0]
  [126  81  22]
  [120  79  25]
  ...
  [221 185 125]
  [230 192 129]
  [235 197 135]]]"
BORAGINACEAE,"[[[94 76 66]
  [85 67 57]
  [72 54 44]
  ...
  [79 62 46]
  [79 62 46]
  [80 63 47]]

 [[94 76 66]
  [86 68 58]
  [85 67 57]
  ...
  [79 62 46]
  [79 62 46]
  [80 63 47]]

 [[90 72 60]
  [82 64 52]
  [88 70 58]
  ...
  [80 63 47]
  [80 63 47]
  [81 64 48]]

 ...

 [[94 75 60]
  [94 75 60]
  [93 74 59]
  ...
  [89 71 49]
  [89 71 49]
  [88 70 48]]

 [[95 76 61]
  [94 75 60]
  [94 75 60]
  ...
  [89 71 49]
  [89 71 49]
  [88 70 48]]

 [[93 74 59]
  [93 74 59]
  [93 74 59]
  ...
  [88 70 48]
  [88 70 48]
  [88 70 48]]]"
CARYOPHYLLACEAE,"[[[216 217 185]
  [221 222 190]
  [221 222 190]
  ...
  [226 221 192]
  [236 231 202]
  [236 231 202]]

 [[230 233 202]
  [218 221 190]
  [214 217 186]
  ...
  [235 230 201]
  [205 200 171]
  [210 205 176]]

 [[215 221 193]
  [220 226 198]
  [219 223 196]
  ...
  [227 221 195]
  [204 198 172]
  [213 207 181]]

 ...

 [[235 233 212]
  [245 243 222]
  [240 237 218]
  ...
  [234 227 198]
  [226 219 190]
  [232 225 196]]

 [[224 219 197]
  [230 225 203]
  [222 217 197]
  ...
  [240 233 204]
  [234 227 198]
  [233 226 197]]

 [[235 231 206]
  [239 235 210]
  [229 224 202]
  ...
  [229 222 193]
  [236 229 200]
  [232 225 196]]]"
BORAGINACEAE,"[[[144 136  97]
  [151 144 102]
  [163 154 113]
  ...
  [144  95  63]
  [145  96  64]
  [146  97  65]]

 [[142 134  95]
  [148 141  99]
  [160 151 110]
  ...
  [145  96  64]
  [146  97  65]
  [147  98  66]]

 [[138 130  91]
  [144 137  95]
  [156 147 106]
  ...
  [147  98  65]
  [148  98  65]
  [149  99  66]]

 ...

 [[ 84  64  39]
  [ 85  65  40]
  [ 88  68  43]
  ...
  [233 198 134]
  [223 189 125]
  [207 176 111]]

 [[ 88  67  40]
  [ 90  69  42]
  [ 93  72  45]
  ...
  [235 200 134]
  [228 194 130]
  [214 183 118]]

 [[ 90  69  42]
  [ 92  71  44]
  [ 95  74  47]
  ...
  [237 202 136]
  [232 198 134]
  [218 187 122]]]"
BORAGINACEAE,"[[[ 91  85  89]
  [103  97  99]
  [102  98  99]
  ...
  [ 80  68  54]
  [ 80  68  54]
  [ 80  68  54]]

 [[ 84  78  82]
  [ 97  91  93]
  [ 98  94  95]
  ...
  [ 79  67  53]
  [ 80  68  54]
  [ 80  68  54]]

 [[ 76  71  75]
  [ 89  85  86]
  [ 95  91  92]
  ...
  [ 79  67  53]
  [ 80  68  54]
  [ 81  69  55]]

 ...

 [[171 179 182]
  [150 158 161]
  [125 133 136]
  ...
  [ 98 121 103]
  [117 138 123]
  [106 127 110]]

 [[163 171 174]
  [144 152 155]
  [124 132 135]
  ...
  [107 130 114]
  [116 137 122]
  [ 98 119 104]]

 [[145 153 156]
  [137 145 148]
  [134 142 145]
  ...
  [114 137 121]
  [115 136 121]
  [ 92 113  98]]]"
CARYOPHYLLACEAE,"[[[171 156 159]
  [188 173 176]
  [218 203 206]
  ...
  [164 169 129]
  [153 158 118]
  [146 153 112]]

 [[136 121 124]
  [168 154 154]
  [196 181 184]
  ...
  [159 161 122]
  [149 154 114]
  [160 167 126]]

 [[152 138 138]
  [138 124 123]
  [145 131 131]
  ...
  [149 151 114]
  [155 160 120]
  [189 194 154]]

 ...

 [[142 143 125]
  [115 114  96]
  [ 85  83  68]
  ...
  [195 211 164]
  [179 192 148]
  [140 153 109]]

 [[124 122 110]
  [ 96  94  82]
  [ 68  64  52]
  ...
  [177 194 142]
  [186 202 153]
  [177 193 144]]

 [[102  99  90]
  [ 83  80  71]
  [ 64  57  47]
  ...
  [136 153  99]
  [157 174 122]
  [185 202 150]]]"
BORAGINACEAE,"[[[ 87  71  45]
  [146 130 104]
  [157 137 112]
  ...
  [ 23  11   0]
  [ 23   9   0]
  [ 39  25  14]]

 [[ 95  79  53]
  [153 137 111]
  [166 146 121]
  ...
  [ 71  59  43]
  [ 49  35  22]
  [ 53  39  28]]

 [[ 94  78  52]
  [153 137 111]
  [166 146 121]
  ...
  [101  88  72]
  [ 89  75  62]
  [102  88  75]]

 ...

 [[105  91  90]
  [ 92  78  77]
  [ 78  67  65]
  ...
  [ 91  77  66]
  [ 95  81  68]
  [ 95  81  68]]

 [[121 107 106]
  [ 90  76  75]
  [ 91  80  78]
  ...
  [ 89  75  64]
  [ 94  80  67]
  [ 94  80  67]]

 [[132 118 117]
  [136 122 121]
  [152 141 139]
  ...
  [ 97  83  72]
  [102  88  75]
  [102  88  75]]]"
